States,X,Y,Year
AL,6,1,2018
AR,4,2,2018
AZ,1,1,2018
CA,0,3,2018
CO,2,3,2018
CT,9,5,2018
DC,8,4,2018
DE,9,3,2018
FL,7,0,2018
GA,7,1,2018
IA,4,4,2018
ID,1,5,2018
IL,5,4,2018
IN,6,4,2018
KS,3,3,2018
KY,6.5,3,2018
LA,4,1,2018
MA,10,5,2018
MD,8,4,2018
ME,11,6,2018
MI,6.5,5,2018
MN,4,6,2018
MO,4,3,2018
MS,5,1,2018
MT,1.5,6,2018
NC,8,2,2018
ND,3,6,2018
NE,3,4,2018
NH,10,5,2018
NJ,9,4,2018
NM,2,1.5,2018
NV,1,3,2018
NY,8.5,5,2018
OH,7,4,2018
OK,3.5,2,2018
OR,0,5,2018
PA,8,4,2018
RI,10,4,2018
SC,7.5,1,2018
SD,3,5,2018
TN,6,2,2018
TX,3,1,2018
UT,1,3,2018
VA,8,3,2018
VT,9,5,2018
WA,0,6,2018
WI,5,5,2018
WV,7.5,3,2018
WY,2,5,2018
AL,6,1,2019
AR,4,2,2019
AZ,1,1,2019
CA,0,3,2019
CO,2,3,2019
CT,9,5,2019
DC,8,4,2019
DE,9,3,2019
FL,7,0,2019
GA,7,1,2019
IA,4,4,2019
ID,1,5,2019
IL,5,4,2019
IN,6,4,2019
KS,3,3,2019
KY,6.5,3,2019
LA,4,1,2019
MA,10,5,2019
MD,8,4,2019
ME,11,6,2019
MI,6.5,5,2019
MN,4,6,2019
MO,4,3,2019
MS,5,1,2019
MT,1.5,6,2019
NC,8,2,2019
ND,3,6,2019
NE,3,4,2019
NH,10,5,2019
NJ,9,4,2019
NM,2,1.5,2019
NV,1,3,2019
NY,8.5,5,2019
OH,7,4,2019
OK,3.5,2,2019
OR,0,5,2019
PA,8,4,2019
RI,10,4,2019
SC,7.5,1,2019
SD,3,5,2019
TN,6,2,2019
TX,3,1,2019
UT,1,3,2019
VA,8,3,2019
VT,9,5,2019
WA,0,6,2019
WI,5,5,2019
WV,7.5,3,2019
WY,2,5,2019
AL,6,1,2020
AR,4,2,2020
AZ,1,1,2020
CA,0,3,2020
CO,2,3,2020
CT,9,5,2020
DC,8,4,2020
DE,9,3,2020
FL,7,0,2020
GA,7,1,2020
IA,4,4,2020
ID,1,5,2020
IL,5,4,2020
IN,6,4,2020
KS,3,3,2020
KY,6.5,3,2020
LA,4,1,2020
MA,10,5,2020
MD,8,4,2020
ME,11,6,2020
MI,6.5,5,2020
MN,4,6,2020
MO,4,3,2020
MS,5,1,2020
MT,1.5,6,2020
NC,8,2,2020
ND,3,6,2020
NE,3,4,2020
NH,10,5,2020
NJ,9,4,2020
NM,2,1.5,2020
NV,1,3,2020
NY,8.5,5,2020
OH,7,4,2020
OK,3.5,2,2020
OR,0,5,2020
PA,8,4,2020
RI,10,4,2020
SC,7.5,1,2020
SD,3,5,2020
TN,6,2,2020
TX,3,1,2020
UT,1,3,2020
VA,8,3,2020
VT,9,5,2020
WA,0,6,2020
WI,5,5,2020
WV,7.5,3,2020
WY,2,5,2020
AL,6,1,2030
AR,4,2,2030
AZ,1,1,2030
CA,0,3,2030
CO,2,3,2030
CT,9,5,2030
DC,8,4,2030
DE,9,3,2030
FL,7,0,2030
GA,7,1,2030
IA,4,4,2030
ID,1,5,2030
IL,5,4,2030
IN,6,4,2030
KS,3,3,2030
KY,6.5,3,2030
LA,4,1,2030
MA,10,5,2030
MD,8,4,2030
ME,11,6,2030
MI,6.5,5,2030
MN,4,6,2030
MO,4,3,2030
MS,5,1,2030
MT,1.5,6,2030
NC,8,2,2030
ND,3,6,2030
NE,3,4,2030
NH,10,5,2030
NJ,9,4,2030
NM,2,1.5,2030
NV,1,3,2030
NY,8.5,5,2030
OH,7,4,2030
OK,3.5,2,2030
OR,0,5,2030
PA,8,4,2030
RI,10,4,2030
SC,7.5,1,2030
SD,3,5,2030
TN,6,2,2030
TX,3,1,2030
UT,1,3,2030
VA,8,3,2030
VT,9,5,2030
WA,0,6,2030
WI,5,5,2030
WV,7.5,3,2030
WY,2,5,2030
AL,6,1,2040
AR,4,2,2040
AZ,1,1,2040
CA,0,3,2040
CO,2,3,2040
CT,9,5,2040
DC,8,4,2040
DE,9,3,2040
FL,7,0,2040
GA,7,1,2040
IA,4,4,2040
ID,1,5,2040
IL,5,4,2040
IN,6,4,2040
KS,3,3,2040
KY,6.5,3,2040
LA,4,1,2040
MA,10,5,2040
MD,8,4,2040
ME,11,6,2040
MI,6.5,5,2040
MN,4,6,2040
MO,4,3,2040
MS,5,1,2040
MT,1.5,6,2040
NC,8,2,2040
ND,3,6,2040
NE,3,4,2040
NH,10,5,2040
NJ,9,4,2040
NM,2,1.5,2040
NV,1,3,2040
NY,8.5,5,2040
OH,7,4,2040
OK,3.5,2,2040
OR,0,5,2040
PA,8,4,2040
RI,10,4,2040
SC,7.5,1,2040
SD,3,5,2040
TN,6,2,2040
TX,3,1,2040
UT,1,3,2040
VA,8,3,2040
VT,9,5,2040
WA,0,6,2040
WI,5,5,2040
WV,7.5,3,2040
WY,2,5,2040
AL,6,1,2050
AR,4,2,2050
AZ,1,1,2050
CA,0,3,2050
CO,2,3,2050
CT,9,5,2050
DC,8,4,2050
DE,9,3,2050
FL,7,0,2050
GA,7,1,2050
IA,4,4,2050
ID,1,5,2050
IL,5,4,2050
IN,6,4,2050
KS,3,3,2050
KY,6.5,3,2050
LA,4,1,2050
MA,10,5,2050
MD,8,4,2050
ME,11,6,2050
MI,6.5,5,2050
MN,4,6,2050
MO,4,3,2050
MS,5,1,2050
MT,1.5,6,2050
NC,8,2,2050
ND,3,6,2050
NE,3,4,2050
NH,10,5,2050
NJ,9,4,2050
NM,2,1.5,2050
NV,1,3,2050
NY,8.5,5,2050
OH,7,4,2050
OK,3.5,2,2050
OR,0,5,2050
PA,8,4,2050
RI,10,4,2050
SC,7.5,1,2050
SD,3,5,2050
TN,6,2,2050
TX,3,1,2050
UT,1,3,2050
VA,8,3,2050
VT,9,5,2050
WA,0,6,2050
WI,5,5,2050
WV,7.5,3,2050
WY,2,5,2050
